iter	Logloss
0	0.6458042063
1	0.611037108
2	0.5731362238
3	0.5437482787
4	0.5182947064
5	0.507136553
6	0.4936683606
7	0.4806440551
8	0.4685222861
9	0.4577602436
10	0.4437515078
11	0.4354163893
12	0.4246482972
13	0.4121805151
14	0.3968642604
15	0.3840655743
16	0.3754401293
17	0.3678193651
18	0.3620271218
19	0.3563238067
20	0.3498134614
21	0.3389629084
22	0.3342520218
23	0.3296859915
24	0.3233900481
25	0.3205991328
26	0.3146873495
27	0.3106579115
28	0.3063267776
29	0.3008948313
30	0.2963130085
31	0.2916645618
32	0.2872460361
33	0.2850791915
34	0.280711469
35	0.2741137655
36	0.2707769822
37	0.2662819838
38	0.2638949294
39	0.2598995863
40	0.254999923
41	0.2515438419
42	0.2480080177
43	0.2460252564
44	0.2442522919
45	0.2423385776
46	0.2385812591
47	0.2353885698
48	0.2326825666
49	0.2306738024
50	0.2262493403
51	0.2249343309
52	0.2216363031
53	0.2187238713
54	0.2168704101
55	0.2161349762
56	0.2131838361
57	0.2100147568
58	0.2077380786
59	0.2051357518
60	0.203376142
61	0.2011421976
62	0.1989966511
63	0.1965843583
64	0.1953364531
65	0.193080234
66	0.1899686234
67	0.1891079413
68	0.1870388888
69	0.1844690628
70	0.1826391401
71	0.1804988979
72	0.1785961452
73	0.1758931983
74	0.1756912105
75	0.1750023975
76	0.1738536449
77	0.1733095144
78	0.1727286779
79	0.1715778446
80	0.1705935186
81	0.1692641282
82	0.1676913215
83	0.1652423368
84	0.1646517527
85	0.1630559078
86	0.1621886111
87	0.1608996548
88	0.1596869708
89	0.1590311224
90	0.1589378969
91	0.1566785268
92	0.155863069
93	0.1544944382
94	0.1527986202
95	0.1516676285
96	0.1504963886
97	0.1499055285
98	0.1483915284
99	0.1468786705
100	0.145174656
101	0.1441181246
102	0.1429486189
103	0.1420240015
104	0.1410193669
105	0.140916135
106	0.1391920999
107	0.1379897447
108	0.136336299
109	0.1356574924
110	0.1332570045
111	0.1327021441
112	0.1321590742
113	0.1309737624
114	0.1297969341
115	0.1289732033
116	0.1271898731
117	0.1252160937
118	0.1236714989
119	0.1232342727
120	0.1226487243
121	0.1219878238
122	0.1207644477
123	0.1200559123
124	0.1193816566
125	0.1177572007
