iter	Passed	Remaining
0	107	113241
1	201	106467
2	306	107732
3	395	104248
4	488	102917
5	592	104004
6	712	107028
7	819	107698
8	920	107415
9	1022	107208
10	1130	107707
11	1250	109133
12	1345	108236
13	1432	106926
14	1532	106645
15	1663	108429
16	1787	109579
17	1906	110276
18	2008	109964
19	2133	110824
20	2232	110365
21	2332	109943
22	2433	109593
23	2537	109413
24	2653	109730
25	2769	110049
26	2895	110665
27	3001	110534
28	3108	110409
29	3204	109920
30	3306	109646
31	3415	109606
32	3524	109580
33	3635	109612
34	3759	110004
35	3874	110108
36	3975	109808
37	4109	110411
38	4245	111025
39	4355	110952
40	4492	111537
41	4598	111342
42	4697	110983
43	4800	110727
44	4907	110588
45	5006	110260
46	5109	110016
47	5217	109884
48	5321	109690
49	5421	109406
50	5520	109107
51	5637	109179
52	5751	109168
53	5857	109018
54	5958	108773
55	6064	108612
56	6181	108657
57	6279	108381
58	6399	108465
59	6513	108450
60	6623	108367
61	6736	108326
62	6840	108147
63	6950	108053
64	7045	107738
65	7141	107445
66	7246	107298
67	7344	107038
68	7446	106842
69	7545	106604
70	7657	106556
71	7780	106660
72	7913	106888
73	8012	106654
74	8105	106347
75	8217	106292
76	8330	106236
77	8433	106069
78	8523	105733
79	8628	105593
80	8765	105837
81	8866	105636
82	8965	105424
83	9077	105358
84	9173	105117
85	9289	105095
86	9400	105023
87	9508	104914
88	9612	104770
89	9716	104614
90	9793	104171
91	9901	104076
92	9998	103857
93	10102	103709
94	10219	103696
95	10324	103565
96	10449	103635
97	10526	103219
98	10650	103281
99	10754	103131
100	10862	103031
101	10982	103043
102	11078	102822
103	11184	102708
104	11295	102627
105	11375	102274
106	11485	102188
107	11602	102170
108	11728	102219
109	11831	102076
110	11926	101855
111	12050	101891
112	12166	101856
113	12269	101707
114	12372	101564
115	12481	101466
116	12593	101390
117	12709	101356
118	12857	101560
119	12981	101577
120	13077	101378
121	13181	101236
122	13280	101062
123	13375	100858
124	13478	100708
125	13597	100687
126	13698	100530
127	13804	100405
128	13937	100481
129	14048	100393
130	14156	100281
131	14284	100312
132	14391	100201
133	14497	100075
134	14604	99958
135	14705	99800
136	14812	99688
137	14917	99560
138	15035	99513
139	15140	99389
140	15249	99281
141	15396	99423
142	15496	99262
143	15589	99058
144	15692	98914
145	15800	98805
146	15900	98645
147	15995	98458
148	16092	98284
149	16189	98110
150	16312	98091
151	16412	97934
152	16530	97884
153	16649	97843
154	16780	97867
155	16882	97726
156	16984	97577
157	17093	97474
158	17183	97267
159	17275	97065
160	17402	97063
161	17510	96953
162	17617	96844
163	17736	96791
164	17835	96635
165	17931	96462
166	18023	96271
167	18132	96169
168	18229	96001
169	18336	95887
170	18438	95749
171	18538	95601
172	18650	95517
173	18759	95415
174	18866	95301
175	19000	95328
176	19095	95153
177	19193	94997
178	19298	94874
179	19402	94749
180	19529	94734
181	19657	94724
182	19760	94590
183	19874	94509
184	19984	94413
185	20084	94268
186	20195	94171
187	20324	94165
188	20433	94056
189	20542	93957
190	20640	93798
191	20764	93763
192	20873	93659
193	20973	93516
194	21066	93339
195	21188	93295
196	21308	93239
197	21425	93170
198	21570	93217
199	21675	93097
200	21853	93287
201	21978	93243
202	22087	93137
203	22208	93080
204	22336	93052
205	22443	92934
206	22552	92824
207	22659	92708
208	22770	92608
209	22870	92460
210	22971	92320
211	23078	92203
212	23187	92096
213	23296	91987
214	23404	91877
215	23529	91829
216	23640	91728
217	23745	91604
218	23845	91463
219	23962	91385
220	24067	91259
221	24187	91194
222	24288	91052
223	24380	90883
224	24502	90824
225	24622	90754
226	24733	90654
227	24835	90519
228	24951	90434
229	25068	90356
230	25177	90244
231	25285	90134
232	25375	89957
233	25506	89926
234	25613	89812
235	25730	89730
236	25830	89587
237	25948	89512
238	26045	89360
239	26146	89226
240	26249	89097
241	26346	88945
242	26445	88803
243	26541	88652
244	26651	88548
245	26756	88426
246	26876	88356
247	26995	88279
248	27125	88238
249	27235	88133
250	27335	87995
251	27437	87865
252	27534	87718
253	27653	87643
254	27768	87552
255	27885	87469
256	27983	87325
257	28082	87187
258	28196	87094
259	28327	87053
260	28448	86980
261	28553	86858
262	28664	86756
263	28771	86641
264	28880	86533
265	28989	86422
266	29092	86296
267	29199	86180
268	29318	86102
269	29424	85986
270	29530	85866
271	29640	85760
272	29752	85660
273	29850	85521
274	29966	85430
275	30075	85322
276	30175	85189
277	30271	85042
278	30372	84911
279	30475	84785
280	30607	84742
281	30715	84631
282	30815	84497
283	30912	84355
284	31021	84247
285	31125	84125
286	31232	84012
287	31334	83885
288	31439	83767
289	31544	83646
290	31657	83548
291	31774	83462
292	31879	83343
293	31982	83220
294	32102	83139
295	32225	83067
296	32346	82990
297	32451	82870
298	32546	82726
299	32646	82595
300	32765	82513
301	32861	82370
302	32959	82236
303	33053	82090
304	33160	81976
305	33244	81806
306	33347	81684
307	33454	81573
308	33558	81453
309	33664	81337
310	33773	81229
311	33875	81106
312	33980	80987
313	34102	80912
314	34200	80779
315	34296	80639
316	34405	80532
317	34519	80436
318	34631	80336
319	34750	80251
320	34867	80162
321	34991	80089
322	35101	79982
323	35236	79935
324	35351	79840
325	35482	79781
326	35607	79708
327	35711	79588
328	35824	79488
329	35965	79450
330	36074	79342
331	36169	79201
332	36274	79084
333	36379	78967
334	36490	78862
335	36623	78806
336	36741	78716
337	36842	78589
338	36942	78461
339	37054	78359
340	37164	78252
341	37275	78146
342	37395	78062
343	37507	77958
344	37616	77848
345	37728	77747
346	37848	77659
347	37957	77551
348	38063	77436
349	38170	77323
350	38278	77212
351	38411	77150
352	38513	77027
353	38628	76930
354	38740	76825
355	38836	76691
356	38940	76572
357	39045	76454
358	39153	76343
359	39252	76216
360	39366	76115
361	39460	75978
362	39566	75862
363	39695	75792
364	39800	75676
365	39913	75574
366	40017	75455
367	40131	75355
368	40246	75257
369	40361	75158
370	40486	75080
371	40582	74947
372	40692	74840
373	40798	74725
374	40894	74592
375	41013	74499
376	41114	74377
377	41204	74233
378	41302	74104
379	41428	74025
380	41546	73932
381	41662	73836
382	41766	73718
383	41867	73595
384	41967	73469
385	42090	73385
386	42211	73297
387	42314	73177
388	42422	73067
389	42556	73001
390	42670	72900
391	42780	72792
392	42902	72704
393	43023	72615
394	43132	72506
395	43252	72414
396	43364	72310
397	43491	72230
398	43603	72126
399	43722	72032
400	43836	71931
401	43949	71827
402	44068	71733
403	44186	71638
404	44286	71515
405	44388	71393
406	44496	71281
407	44600	71164
408	44707	71051
409	44839	70976
410	44962	70889
411	45065	70770
412	45175	70662
413	45273	70534
414	45374	70412
415	45493	70317
416	45607	70216
417	45718	70108
418	45817	69983
419	45924	69871
420	46042	69774
421	46147	69658
422	46260	69554
423	46355	69424
